Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,1.077209598,8.836504276,0,8.334331033,0,0.2311806437,0.2311806437,0.2311806437,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.9239688923,8.934661557,0,8.515937361,0,0.2362181047,0.2362181047,0.2362181047,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.8665069687,9.083129315,0,8.687352767,0,0.2409728864,0.2409728864,0.2409728864,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.8895333662,10.49901701,0,10.09488998,0,0.280015655,0.280015655,0.280015655,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.8952066497,10.83946167,0,10.36800005,0,0.2875912796,0.2875912796,0.2875912796,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.9602255151,11.22640375,0,10.4603716,0,0.2901535144,0.2901535144,0.2901535144,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.227724412,11.60564208,0,10.29116117,0,0.2854598952,0.2854598952,0.2854598952,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.664917974,12.45030013,0,10.97935526,0,0.304549268,0.304549268,0.304549268,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.54827378,10.24688029,0,8.81703031,0,0.2445699282,0.2445699282,0.2445699282,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.295738584,8.449896852,0,7.153519015,0,0.1984268592,0.1984268592,0.1984268592,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.237119195,6.458488911,0,5.329343588,0,0.1478272313,0.1478272313,0.1478272313,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.189660162,3.843166974,0,2.864514281,0,0.07945691775,0.07945691775,0.07945691775,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.134712,2.554266261,0,1.686675125,0,0.04678559558,0.04678559558,0.04678559558,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.074561214,1.439969396,0,0.63695708,0,0.01766814243,0.01766814243,0.01766814243,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.055139344,0.7471267322,0,0,0,0,0,0,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.139754016,0.7569375313,0,0,0,0,0,0,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.481051842,1.787126259,0,0.9413311758,0,0.02611097955,0.02611097955,0.02611097955,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.108387653,3.299171254,0,2.28281187,0,0.06332144902,0.06332144902,0.06332144902,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.547727282,4.213629333,0,3.03446618,0,0.08417110407,0.08417110407,0.08417110407,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.51790406,4.375445021,0,3.15510172,0,0.08751733568,0.08751733568,0.08751733568,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.379953426,6.341818305,0,5.191163153,0,0.1439943332,0.1439943332,0.1439943332,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.179584835,6.626354042,0,5.578174186,0,0.1547293831,0.1547293831,0.1547293831,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.815833917,7.558562319,0,6.677148911,0,0.1852131356,0.1852131356,0.1852131356,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.465380205,8.998699319,0,8.299589953,0,0.2302169833,0.2302169833,0.2302169833,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,1.117419911,10.5531103,0,10.06044667,0,0.2790602543,0.2790602543,0.2790602543,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.9824429016,11.20585179,0,10.790004,0,0.2992969754,0.2992969754,0.2992969754,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.93349796,11.60931979,0,11.21228378,0,0.3110103225,0.3110103225,0.3110103225,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.9278628429,11.93906814,0,11.53414066,0,0.3199381032,0.3199381032,0.3199381032,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.9438390558,12.69979294,0,12.23360282,0,0.3393400339,0.3393400339,0.3393400339,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,1.009220934,13.13861835,0,12.39901903,0,0.3439284075,0.3439284075,0.3439284075,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.262455014,13.23246898,0,11.99014552,0,0.3325869284,0.3325869284,0.3325869284,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.671016292,13.47122296,0,12.08924704,0,0.3353358417,0.3353358417,0.3353358417,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.54849491,11.52651694,0,10.18930511,0,0.2826345757,0.2826345757,0.2826345757,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.276595146,9.566663363,0,8.357368191,0,0.2318196566,0.2318196566,0.2318196566,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/02 11:00:00,1.205707879,7.396529359,0,6.33844993,0,0.1758181825,0.1758181825,0.1758181825,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/02 12:00:00,1.160845684,4.953707498,0,4.03337978,0,0.1118793254,0.1118793254,0.1118793254,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/02 13:00:00,1.113129635,3.737102825,0,2.91950084,0,0.08098215451,0.08098215451,0.08098215451,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/02 14:00:00,1.060290554,2.717635831,0,1.955782311,0,0.05425018659,0.05425018659,0.05425018659,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/02 15:00:00,1.038152931,1.744309879,0,1.033229486,0,0.02866008763,0.02866008763,0.02866008763,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/02 16:00:00,1.109632883,1.194151154,0,0.4727870035,0,0.01311433436,0.01311433436,0.01311433436,0.2098696756,0.04544169348,0.3684909374,0.4524902419
