Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,1.11637694,10.22054407,0,9.711112838,0,0.2703479864,0.2703479864,0.2703479864,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.9812595404,10.96742935,0,10.53857959,0,0.2935087528,0.2935087528,0.2935087528,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.9396857043,11.68121243,0,11.27306389,0,0.314151622,0.314151622,0.314151622,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.9249333805,11.73242777,0,11.31615162,0,0.3154156693,0.3154156693,0.3154156693,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.9250378544,11.86644049,0,11.38347523,0,0.3174224843,0.3174224843,0.3174224843,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.9952719886,12.43611027,0,11.65897923,0,0.3251999879,0.3251999879,0.3251999879,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.263774897,12.85240309,0,11.52617103,0,0.3215103801,0.3215103801,0.3215103801,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.707169029,13.91424167,0,12.43101384,0,0.3468003225,0.3468003225,0.3468003225,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.574071319,11.12536776,0,9.684027073,0,0.2703674673,0.2703674673,0.2703674673,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.291477417,8.246985203,0,6.947958082,0,0.1941656926,0.1941656926,0.1941656926,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.250759801,6.915680752,0,5.784640674,0,0.1614678372,0.1614678372,0.1614678372,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.204668492,4.367702449,0,3.386135386,0,0.09446524774,0.09446524774,0.09446524774,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.142748001,2.836821495,0,1.9659333,0,0.05482159693,0.05482159693,0.05482159693,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.087346587,1.90175239,0,1.093305537,0,0.03045351515,0.03045351515,0.03045351515,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.068693292,1.241092512,0,0.4870041494,0,0.01355394742,0.01355394742,0.01355394742,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.153868357,1.276205967,0,0.5075008343,0,0.01411434034,0.01411434034,0.01411434034,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.492977849,2.224912178,0,1.368288506,0,0.03803698636,0.03803698636,0.03803698636,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.130614045,4.105270321,0,3.078257594,0,0.08554784183,0.08554784183,0.08554784183,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.546970796,4.19069917,0,3.002191675,0,0.08341461833,0.08341461833,0.08341461833,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.540824189,5.202054336,0,3.972354445,0,0.1104374645,0.1104374645,0.1104374645,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.3810056,6.375137515,0,5.217289994,0,0.1450465073,0.1450465073,0.1450465073,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.190325593,7.0028028,0,5.95021754,0,0.165470141,0.165470141,0.165470141,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.830004654,8.053611657,0,7.167009497,0,0.1993838728,0.1993838728,0.1993838728,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.460615173,8.806239775,0,8.101604258,0,0.2254519514,0.2254519514,0.2254519514,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,1.094540328,9.696513443,0,9.201788708,0,0.2561806713,0.2561806713,0.2561806713,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.9618328933,10.42709895,0,10.00633749,0,0.2786869671,0.2786869671,0.2786869671,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.8998759553,10.35632796,0,9.95605824,0,0.2773883178,0.2773883178,0.2773883178,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.8917856259,10.59289908,0,10.1852829,0,0.2838608862,0.2838608862,0.2838608862,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.8888468056,10.66769818,0,10.20005336,0,0.2843477837,0.2843477837,0.2843477837,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,0.952622381,11.0449506,0,10.30703035,0,0.287329855,0.287329855,0.287329855,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.213830227,11.42596793,0,10.18552862,0,0.2839621414,0.2839621414,0.2839621414,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.640108274,12.29786323,0,10.91863952,0,0.3044278237,0.3044278237,0.3044278237,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.498371314,9.66574025,0,8.334755996,0,0.2325109801,0.2325109801,0.2325109801,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.247700317,8.476586289,0,7.272635244,0,0.2029248274,0.2029248274,0.2029248274,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/02 11:00:00,1.201850604,7.229386735,0,6.168290342,0,0.1719609077,0.1719609077,0.1719609077,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/02 12:00:00,1.177658948,5.549912324,0,4.617800143,0,0.1286925902,0.1286925902,0.1286925902,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/02 13:00:00,1.147167995,4.96364481,0,4.129815266,0,0.1150205146,0.1150205146,0.1150205146,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/02 14:00:00,1.107029184,4.409062487,0,3.628666652,0,0.1009888163,0.1009888163,0.1009888163,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/02 15:00:00,1.105749224,4.18662046,0,3.459139242,0,0.09625638071,0.09625638071,0.09625638071,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/02 16:00:00,1.186748869,3.981359266,0,3.243688729,0,0.09023032092,0.09023032092,0.09023032092,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/02 17:00:00,1.51288161,4.401287985,0,3.590736926,0,0.09984498646,0.09984498646,0.09984498646,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/02 18:00:00,2.133613207,5.631145169,0,4.668198405,0,0.1297909222,0.1297909222,0.1297909222,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/02 19:00:00,2.549007547,5.616877498,0,4.513393359,0,0.1254800704,0.1254800704,0.1254800704,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/02 20:00:00,2.525373971,5.983789863,0,4.851780651,0,0.1349394605,0.1349394605,0.1349394605,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/02 21:00:00,2.356899105,6.87418399,0,5.810719692,0,0.1616046101,0.1616046101,0.1616046101,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/02 22:00:00,2.157873714,7.248536949,0,6.276039745,0,0.1745595954,0.1745595954,0.1745595954,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/02 23:00:00,1.779571912,7.361666062,0,6.540600924,0,0.1819598775,0.1819598775,0.1819598775,0.5624508497,0.1217837268,0.2561458861,0.6370055714
02/02 1079016:00:00,1.42811447,8.245270322,0,7.585249474,0,0.211075235,0.211075235,0.211075235,0.3861602118,0.08361269885,0.1734943359,0.5535459886
01/03 01:00:00,1.063774625,8.587442556,0,8.099931047,0,0.2254149675,0.2254149675,0.2254149675,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/03 02:00:00,0.9099210866,8.558485279,0,8.148373815,0,0.2267751605,0.2267751605,0.2267751605,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/03 03:00:00,0.8497489442,8.549861549,0,8.16131251,0,0.2272613067,0.2272613067,0.2272613067,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/03 04:00:00,0.840550502,8.747006961,0,8.353424988,0,0.2326257623,0.2326257623,0.2326257623,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/03 05:00:00,0.8425741978,9.003992326,0,8.549651192,0,0.2380751759,0.2380751759,0.2380751759,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/03 06:00:00,0.9206243765,9.896841709,0,9.169391404,0,0.2553318504,0.2553318504,0.2553318504,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/03 07:00:00,1.217977625,11.57973248,0,10.34653318,0,0.2881095394,0.2881095394,0.2881095394,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/03 08:00:00,1.618834309,11.54310381,0,10.16862286,0,0.2831538582,0.2831538582,0.2831538582,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/03 09:00:00,1.49859831,9.679837931,0,8.349165209,0,0.2327379759,0.2327379759,0.2327379759,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/03 10:00:00,1.239179752,8.181050592,0,6.972903333,0,0.1944042624,0.1944042624,0.1944042624,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/03 11:00:00,1.188679492,6.760429677,0,5.698986309,0,0.1587897953,0.1587897953,0.1587897953,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/03 12:00:00,1.171274908,5.323466075,0,4.392260294,0,0.1223085499,0.1223085499,0.1223085499,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/03 13:00:00,1.145029563,4.890494977,0,4.056760248,0,0.1128820827,0.1128820827,0.1128820827,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/03 14:00:00,1.102733827,4.257744697,0,3.477289533,0,0.0966934599,0.0966934599,0.0966934599,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/03 15:00:00,1.098262998,3.921756147,0,3.193315818,0,0.08877015472,0.08877015472,0.08877015472,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/03 16:00:00,1.180164305,3.746367102,0,3.009426765,0,0.08364575711,0.08364575711,0.08364575711,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/03 17:00:00,1.500853439,3.970068011,0,3.160921195,0,0.08781681471,0.08781681471,0.08781681471,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/03 18:00:00,2.117569114,5.055567596,0,4.09457824,0,0.1137468285,0.1137468285,0.1137468285,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/03 19:00:00,2.524909264,4.750057124,0,3.650535421,0,0.1013817881,0.1013817881,0.1013817881,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/03 20:00:00,2.508256885,5.368222281,0,4.241065368,0,0.1178223736,0.1178223736,0.1178223736,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/03 21:00:00,2.311673421,5.2431204,0,4.189469502,0,0.1163789269,0.1163789269,0.1163789269,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/03 22:00:00,2.116260191,5.748212658,0,4.785653798,0,0.1329460726,0.1329460726,0.1329460726,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/03 23:00:00,1.745340897,6.128192798,0,5.317545394,0,0.1477288627,0.1477288627,0.1477288627,0.5624508497,0.1217837268,0.2561458861,0.6370055714
02/03 1079688:00:00,1.36866089,6.10636507,0,5.458076954,0,0.151621655,0.151621655,0.151621655,0.3861602118,0.08361269885,0.1734943359,0.5535459886
01/04 01:00:00,0.9905579973,5.951519065,0,5.477814181,0,0.1521983402,0.1521983402,0.1521983402,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/04 02:00:00,0.8419144414,6.107613041,0,5.713544381,0,0.1587685152,0.1587685152,0.1587685152,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/04 03:00:00,0.7896799224,6.388949548,0,6.016819497,0,0.1671922849,0.1671922849,0.1671922849,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/04 04:00:00,0.7757674881,6.418237953,0,6.040875518,0,0.1678427484,0.1678427484,0.1678427484,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/04 05:00:00,0.7738676463,6.533475414,0,6.095927615,0,0.1693686244,0.1693686244,0.1693686244,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/04 06:00:00,0.844014997,7.141546769,0,6.43255584,0,0.178722471,0.178722471,0.178722471,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/04 07:00:00,1.124925782,8.235955642,0,7.020891934,0,0.1950576965,0.1950576965,0.1950576965,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/04 08:00:00,1.508097103,7.561468552,0,6.205880232,0,0.1724166527,0.1724166527,0.1724166527,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/04 09:00:00,1.396331512,6.003780964,0,4.694730595,0,0.1304711775,0.1304711775,0.1304711775,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/04 10:00:00,1.143382089,4.730040795,0,3.549021684,0,0.09860659874,0.09860659874,0.09860659874,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/04 11:00:00,1.111848632,3.983008405,0,2.951579078,0,0.08195893569,0.08195893569,0.08195893569,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/04 12:00:00,1.079388685,1.997898329,0,1.096580794,0,0.03042232676,0.03042232676,0.03042232676,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/04 13:00:00,1.047332338,1.350453804,0,0.5474317598,0,0.0151848572,0.0151848572,0.0151848572,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/04 14:00:00,1.02099419,1.290605196,0,0.5391026698,0,0.01495382194,0.01495382194,0.01495382194,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/04 15:00:00,1.028780504,1.3996176,0,0.6953425965,0,0.01928766069,0.01928766069,0.01928766069,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/04 16:00:00,1.122574767,1.65521355,0,0.9393569726,0,0.0260562184,0.0260562184,0.0260562184,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/04 17:00:00,1.449272155,2.097918966,0,1.306333022,0,0.0362355308,0.0362355308,0.0362355308,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/04 18:00:00,2.061425891,3.022689578,0,2.076676991,0,0.05760360631,0.05760360631,0.05760360631,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/04 19:00:00,2.475482583,2.956326916,0,1.873041994,0,0.05195510619,0.05195510619,0.05195510619,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/04 20:00:00,2.450710886,3.281207415,0,2.173033414,0,0.0602763751,0.0602763751,0.0602763751,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/04 21:00:00,2.263854638,3.508451122,0,2.471672879,0,0.06856014298,0.06856014298,0.06856014298,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/04 22:00:00,2.067966452,3.998444368,0,3.051815067,0,0.08465233369,0.08465233369,0.08465233369,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/04 23:00:00,1.699117327,4.454789843,0,3.659383853,0,0.1015052932,0.1015052932,0.1015052932,0.5624508497,0.1217837268,0.2561458861,0.6370055714
02/04 1080432:00:00,1.330275239,4.715067652,0,4.082289618,0,0.1132360039,0.1132360039,0.1132360039,0.3861602118,0.08361269885,0.1734943359,0.5535459886
