Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,0.9890615588,5.625667969,0,5.156491729,0,0.1430326048,0.1430326048,0.1430326048,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.8496716655,6.225197234,0,5.837435939,0,0.1619208779,0.1619208779,0.1619208779,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.7985445967,6.604369391,0,6.237230229,0,0.1730105144,0.1730105144,0.1730105144,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.790223214,6.889292659,0,6.514643506,0,0.1807055027,0.1807055027,0.1807055027,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.8054505944,7.575660755,0,7.132189888,0,0.1978352243,0.1978352243,0.1978352243,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.86570618,7.79092138,0,7.052839653,0,0.1956341792,0.1956341792,0.1956341792,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.153080606,8.886794248,0,7.600165165,0,0.2108160893,0.2108160893,0.2108160893,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.527861574,7.479716439,0,6.03831265,0,0.1674928677,0.1674928677,0.1674928677,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.461059562,7.073601502,0,5.672856355,0,0.1573557108,0.1573557108,0.1573557108,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.208946508,5.292166582,0,4.02456377,0,0.1116347838,0.1116347838,0.1116347838,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.184489191,4.539641138,0,3.431970752,0,0.09519722754,0.09519722754,0.09519722754,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.159026459,2.721995991,0,1.760133671,0,0.04882321489,0.04882321489,0.04882321489,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.098196123,1.215978595,0,0.3702353108,0,0.01026971897,0.01026971897,0.01026971897,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.056893072,0.7782441507,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.055139344,0.7237309525,0,0,0,0,0,0,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.139754016,0.7358338425,0,0,0,0,0,0,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.454940863,0.823131696,0,0,0,0,0,0,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.05958622,1.515786329,0,0.523463468,0,0.01452001619,0.01452001619,0.01452001619,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.475890201,1.597273018,0,0.4446558999,0,0.01233402378,0.01233402378,0.01233402378,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.457227161,2.160121125,0,0.9676289754,0,0.02684043728,0.02684043728,0.02684043728,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.274321903,2.500173468,0,1.383023888,0,0.03836280939,0.03836280939,0.03836280939,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.082525654,3.09331854,0,2.079077842,0,0.05767020196,0.05767020196,0.05767020196,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.711558255,3.764376772,0,2.917890065,0,0.08093747427,0.08093747427,0.08093747427,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.333925124,4.223764826,0,3.560481449,0,0.09876190303,0.09876190303,0.09876190303,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,0.9550700518,4.658569352,0,4.207545444,0,0.1167103947,0.1167103947,0.1167103947,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.8110802089,4.985975282,0,4.61217966,0,0.1279342827,0.1279342827,0.1279342827,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.7515615003,5.006042439,0,4.653262849,0,0.1290738629,0.1290738629,0.1290738629,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.7312053367,4.801717903,0,4.444408877,0,0.123280597,0.123280597,0.123280597,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.7292527826,4.913640563,0,4.497518141,0,0.1247537607,0.1247537607,0.1247537607,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,0.7890874546,5.147107346,0,4.462951128,0,0.1237949285,0.1237949285,0.1237949285,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.055997179,5.732808576,0,4.547100462,0,0.1261290927,0.1261290927,0.1261290927,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.463395998,5.927460001,0,4.604293992,0,0.1277155473,0.1277155473,0.1277155473,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.380811036,5.424660575,0,4.144106463,0,0.1149507016,0.1149507016,0.1149507016,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.16388046,5.458735944,0,4.293872683,0,0.1191049704,0.1191049704,0.1191049704,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/02 11:00:00,1.159802873,5.716620951,0,4.683521076,0,0.1299131764,0.1299131764,0.1299131764,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/02 12:00:00,1.164796864,5.091405065,0,4.175824425,0,0.1158305058,0.1158305058,0.1158305058,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/02 13:00:00,1.145626711,4.914495967,0,4.091058208,0,0.1134792302,0.1134792302,0.1134792302,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/02 14:00:00,1.113933034,4.659075206,0,3.889656105,0,0.1078926669,0.1078926669,0.1078926669,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/02 15:00:00,1.115816478,4.550381718,0,3.833090652,0,0.1063236342,0.1063236342,0.1063236342,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/02 16:00:00,1.202459382,4.545011355,0,3.819290234,0,0.1059408333,0.1059408333,0.1059408333,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/02 17:00:00,1.507713869,4.208872936,0,3.413224776,0,0.09467724497,0.09467724497,0.09467724497,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/02 18:00:00,2.086045851,3.90652591,0,2.964255179,0,0.08222356632,0.08222356632,0.08222356632,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/02 19:00:00,2.495090616,3.655274637,0,2.579934408,0,0.07156313983,0.07156313983,0.07156313983,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/02 20:00:00,2.459029168,3.572977844,0,2.472917141,0,0.06859465675,0.06859465675,0.06859465675,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/02 21:00:00,2.2657578,3.567433706,0,2.540284105,0,0.07046330561,0.07046330561,0.07046330561,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/02 22:00:00,2.057043135,3.592071565,0,2.6580168,0,0.07372901705,0.07372901705,0.07372901705,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/02 23:00:00,1.677364409,3.656632152,0,2.875165845,0,0.07975237462,0.07975237462,0.07975237462,0.5624508497,0.1217837268,0.2561458861,0.6370055714
02/02 1079016:00:00,1.304683898,3.777873128,0,3.159692027,0,0.08764466324,0.08764466324,0.08764466324,0.3861602118,0.08361269885,0.1734943359,0.5535459886
01/03 01:00:00,0.9453051326,4.30053198,0,3.855508752,0,0.1069454755,0.1069454755,0.1069454755,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/03 02:00:00,0.8136318864,5.074979687,0,4.7041706,0,0.1304859602,0.1304859602,0.1304859602,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/03 03:00:00,0.7599630261,5.309154773,0,4.956147621,0,0.1374753886,0.1374753886,0.1374753886,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/03 04:00:00,0.7697565926,6.196980346,0,5.834226482,0,0.1618318529,0.1618318529,0.1618318529,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/03 05:00:00,0.7740213537,6.53915058,0,6.111477189,0,0.1695223318,0.1695223318,0.1695223318,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/03 06:00:00,0.8478674164,7.283454637,0,6.582037103,0,0.1825748904,0.1825748904,0.1825748904,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/03 07:00:00,1.143279496,8.901645035,0,7.693729512,0,0.2134114105,0.2134114105,0.2134114105,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/03 08:00:00,1.496703294,7.150630782,0,5.805060744,0,0.1610228433,0.1610228433,0.1610228433,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/03 09:00:00,1.378511999,5.356122481,0,4.061223527,0,0.1126516652,0.1126516652,0.1126516652,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/03 10:00:00,1.127680929,4.149448833,0,2.988837493,0,0.08290543932,0.08290543932,0.08290543932,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/03 11:00:00,1.080132352,2.820670284,0,1.811306169,0,0.05024265589,0.05024265589,0.05024265589,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/03 12:00:00,1.063843803,1.415268965,0,0.5363491914,0,0.01487744497,0.01487744497,0.01487744497,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/03 13:00:00,1.03214748,0.7815606803,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/03 14:00:00,1.006040368,0.7282778653,0,0,0,0,0,0,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/03 15:00:00,1.009492843,0.6790999503,0,0,0,0,0,0,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/03 16:00:00,1.096518548,0.6934040903,0,0,0,0,0,0,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/03 17:00:00,1.413036624,0.7738071328,0,0,0,0,0,0,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/03 18:00:00,2.006754307,1.038650644,0,0.1057028092,0,0.002932022183,0.002932022183,0.002932022183,0.654793535,0.1417780683,0.5368219875,0.6502026943
