Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,0.9257082916,3.331813813,0,2.872532774,0,0.07967933758,0.07967933758,0.07967933758,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.784699296,3.869681,0,3.495106464,0,0.09694850841,0.09694850841,0.09694850841,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.742971027,4.587281079,0,4.233738418,0,0.1174369447,0.1174369447,0.1174369447,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.7462682747,5.292319619,0,4.930016831,0,0.1367505634,0.1367505634,0.1367505634,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.753656306,5.694721589,0,5.264945562,0,0.1460409359,0.1460409359,0.1460409359,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.8298971051,6.48730925,0,5.761880863,0,0.1598251043,0.1598251043,0.1598251043,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.095640079,6.804813081,0,5.529367359,0,0.1533755619,0.1533755619,0.1533755619,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.495588128,6.305589909,0,4.874817412,0,0.1352194223,0.1352194223,0.1352194223,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.402198861,4.935254777,0,3.550859613,0,0.09849500912,0.09849500912,0.09849500912,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.152326013,3.223478464,0,1.983329078,0,0.05501428863,0.05501428863,0.05501428863,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.117158579,2.078899138,0,1.004623908,0,0.02786661589,0.02786661589,0.02786661589,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.110203244,0.9287087989,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.087926404,0.8206672512,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.056893072,0.7589223513,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.055139344,0.704721578,0,0,0,0,0,0,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.139754016,0.7208172682,0,0,0,0,0,0,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.454940863,0.8106226464,0,0,0,0,0,0,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.045066204,0.9825581254,0,0,0,0,0,0,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.463556178,1.143528924,0,0,0,0,0,0,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.430386724,1.183803789,0,0,0,0,0,0,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.235959093,1.110064061,0,0,0,0,0,0,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.037599219,1.465125823,0,0.4594276399,0,0.01274376757,0.01274376757,0.01274376757,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.671872018,2.325918797,0,1.48715504,0,0.04125123636,0.04125123636,0.04125123636,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.305975036,3.20948476,0,2.552848263,0,0.0708118147,0.0708118147,0.0708118147,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,0.9291934382,3.720413294,0,3.274663434,0,0.0908337811,0.0908337811,0.0908337811,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.7989781486,4.546669828,0,4.175886313,0,0.1158322224,0.1158322224,0.1158322224,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.7527751137,5.048162607,0,4.697015023,0,0.1302874763,0.1302874763,0.1302874763,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.7583121474,5.781985671,0,5.421640926,0,0.1503874077,0.1503874077,0.1503874077,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.7742600288,6.542171715,0,6.120081705,0,0.1697610069,0.1697610069,0.1697610069,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,0.8415029899,7.046021446,0,6.352592126,0,0.1762104638,0.1762104638,0.1762104638,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.126804251,8.299137923,0,7.099777758,0,0.1969361651,0.1969361651,0.1969361651,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.4808853,6.571024375,0,5.234803662,0,0.1452048491,0.1452048491,0.1452048491,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.355775965,4.525746394,0,3.241563059,0,0.08991563109,0.08991563109,0.08991563109,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.083319414,2.534227361,0,1.389553285,0,0.03854392411,0.03854392411,0.03854392411,0.1930801059,0.04180636071,0.3999813108,0.3896817125
