Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,1.067077342,8.039859992,0,7.532231258,0.2016790504,0.2016790504,0.2016790504,0.2100859208,0.0459277025,0.1228371479,0.4658475202
01/01 02:00:00,0.9043330531,7.973304642,0,7.55890499,0.2023932522,0.2023932522,0.2023932522,0.1225501024,0.02679115583,0.1029756859,0.4289228568
01/01 03:00:00,0.8470184173,8.202160032,0,7.813108204,0.2091996633,0.2091996633,0.2091996633,0.08753578586,0.01913653954,0.08649659032,0.4239498382
01/01 04:00:00,0.8331126564,8.291425455,0,7.895752668,0.2114125079,0.2114125079,0.2114125079,0.08753578586,0.01913653954,0.07634560719,0.4179822159
01/01 05:00:00,0.8307433523,8.356757824,0,7.888415066,0.2112160401,0.2112160401,0.2112160401,0.08753578586,0.01913653954,0.08996210506,0.4021928817
01/01 06:00:00,0.8848728798,8.336354912,0,7.547587864,0.2020902308,0.2020902308,0.2020902308,0.08753578586,0.01913653954,0.1065953922,0.4488149314
01/01 07:00:00,1.161624836,8.841488567,0,7.452444013,0.1995427092,0.1995427092,0.1995427092,0.2013322955,0.04401403833,0.1774742756,0.5185615177
01/01 08:00:00,1.572413204,8.311614658,0,6.750817325,0.1807563232,0.1807563232,0.1807563232,0.4114182164,0.08994174084,0.2810864593,0.5510104642
01/01 09:00:00,1.477590601,6.930300822,0,5.414174812,0.1449670884,0.1449670884,0.1449670884,0.3939110719,0.08611443626,0.3660504839,0.4658475202
01/01 10:00:00,1.229692016,5.650048248,0,4.28206177,0.1146542269,0.1146542269,0.1146542269,0.2013322955,0.04401403833,0.4525175454,0.3964739103
