Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,0.9298924715,3.482675827,0,3.023377324,0,0.08386351746,0.08386351746,0.08386351746,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.7902231787,4.069259602,0,3.69424886,0,0.1024723911,0.1024723911,0.1024723911,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.7439172726,4.62159783,0,4.267851671,0,0.1183831903,0.1183831903,0.1183831903,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.7413471523,5.113386502,0,4.752604648,0,0.1318294411,0.1318294411,0.1318294411,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.7665079355,6.157486456,0,5.728261751,0,0.1588925654,0.1588925654,0.1588925654,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.8241664518,6.279205229,0,5.555284149,0,0.1540944511,0.1540944511,0.1540944511,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.117790091,7.600502818,0,6.327901075,0,0.1755255747,0.1755255747,0.1755255747,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.465546965,5.21767547,0,3.791798543,0,0.105178259,0.105178259,0.105178259,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.36578662,3.61340808,0,2.238155998,0,0.06208276853,0.06208276853,0.06208276853,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.104069461,1.472295028,0,0.2436242704,0,0.006757736816,0.006757736816,0.006757736816,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.089291964,1.056944932,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.110203244,0.9101364798,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.087926404,0.804886718,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.056893072,0.7454821112,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.055139344,0.691376488,0,0,0,0,0,0,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.139754016,0.706032304,0,0,0,0,0,0,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.454940863,0.7956101407,0,0,0,0,0,0,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.045066204,0.9694480579,0,0,0,0,0,0,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.463556178,1.132808715,0,0,0,0,0,0,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.430386724,1.175857135,0,0,0,0,0,0,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.235959093,1.105896315,0,0,0,0,0,0,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.024855452,1.002799983,0,0,0,0,0,0,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.652984877,1.644627809,0,0.8062516648,0,0.02236409594,0.02236409594,0.02236409594,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.299680818,2.982440877,0,2.325934376,0,0.06451759646,0.06451759646,0.06451759646,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,0.922348259,3.47288802,0,3.027886763,0,0.08398860186,0.08398860186,0.08398860186,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.7883315295,4.159821641,0,3.792063312,0,0.1051856033,0.1051856033,0.1051856033,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.7624131715,5.394729223,0,5.044478211,0,0.139925534,0.139925534,0.139925534,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.7636503958,5.971743623,0,5.614090986,0,0.1557256561,0.1557256561,0.1557256561,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.7709905758,6.423597085,0,6.00221412,0,0.1664915539,0.1664915539,0.1664915539,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,0.8471979226,7.250541666,0,6.557901073,0,0.1819053965,0.1819053965,0.1819053965,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.144816104,8.947530059,0,7.749126022,0,0.2149480186,0.2149480186,0.2149480186,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.489329759,6.874829096,0,5.539236252,0,0.1536493088,0.1536493088,0.1536493088,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.354139167,4.46398318,0,3.182554575,0,0.08827883276,0.08827883276,0.08827883276,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.081357105,2.459530546,0,1.318809771,0,0.03658161533,0.03658161533,0.03658161533,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/02 11:00:00,1.029889696,0.9837060212,0,0,0,0,0,0,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/02 12:00:00,1.048966358,0.8468651798,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/02 13:00:00,1.03214748,0.7467779944,0,0,0,0,0,0,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/02 14:00:00,1.006040368,0.6935700635,0,0,0,0,0,0,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/02 15:00:00,1.009492843,0.6443565275,0,0,0,0,0,0,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/02 16:00:00,1.096518548,0.6598021508,0,0,0,0,0,0,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/02 17:00:00,1.413036624,0.7373676317,0,0,0,0,0,0,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/02 18:00:00,2.003822285,0.8972866903,0,0,0,0,0,0,0.654793535,0.1417780683,0.5368219875,0.6502026943
