Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,1.000989369,5.646545855,0,5.171584928,0,0.1549604147,0.1549604147,0.1549604147,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.8720994931,6.544314182,0,6.151148195,0,0.1843487055,0.1843487055,0.1843487055,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.8103393064,6.537622932,0,6.166059679,0,0.1848052241,0.1848052241,0.1848052241,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.800744421,6.758451682,0,6.37862743,0,0.1912267098,0.1912267098,0.1912267098,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.7992896305,6.837884447,0,6.39176322,0,0.1916742604,0.1916742604,0.1916742604,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.8597531551,7.064492364,0,6.325224227,0,0.1896811544,0.1896811544,0.1896811544,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.125839824,7.408545766,0,6.121179028,0,0.1835753074,0.1835753074,0.1835753074,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.528871739,7.06223,0,5.61857789,0,0.1685030334,0.1685030334,0.1685030334,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.471490055,6.999139479,0,5.595065422,0,0.1677862033,0.1677862033,0.1677862033,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.256987262,6.602610018,0,5.325442608,0,0.1596755371,0.1596755371,0.1596755371,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.236611045,6.040787517,0,4.913328352,0,0.1473190817,0.1473190817,0.1473190817,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.20343696,4.089477342,0,3.110355156,0,0.09323371617,0.09323371617,0.09323371617,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.174771563,3.766594052,0,2.896755939,0,0.08684515899,0.08684515899,0.08684515899,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.139465147,3.56225529,0,2.754095227,0,0.08257207505,0.08257207505,0.08257207505,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.143879927,3.719176922,0,2.961928373,0,0.08874058255,0.08874058255,0.08874058255,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.216834835,3.344991098,0,2.573480247,0,0.07708081815,0.07708081815,0.07708081815,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.545751608,3.885664696,0,3.031164531,0,0.09081074539,0.09081074539,0.09081074539,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.160298518,4.86449351,0,3.846006888,0,0.1152323143,0.1152323143,0.1152323143,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.560832897,4.420973999,0,3.247518921,0,0.09727671925,0.09727671925,0.09727671925,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.534015977,4.670387642,0,3.458708478,0,0.1036292534,0.1036292534,0.1036292534,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.348772354,4.898830549,0,3.765168632,0,0.1128132605,0.1128132605,0.1128132605,0.8898475155,0.1926727497,0.3795104754,0.7537023526
01/01 22:00:00,2.147152388,5.109356394,0,4.082463968,0,0.1222969363,0.1222969363,0.1222969363,0.7471361211,0.1617724098,0.3596147321,0.7361061888
01/01 23:00:00,1.772611002,5.597416069,0,4.739595953,0,0.1419902209,0.1419902209,0.1419902209,0.5624508497,0.1217837268,0.2891546333,0.6370055714
02/01 1078272:00:00,1.379088856,5.47533804,0,4.803556354,0,0.1439256351,0.1439256351,0.1439256351,0.3861602118,0.08361269885,0.1916183221,0.5535459886
01/02 01:00:00,0.9964399428,5.735727406,0,5.275875522,0,0.1580802857,0.1580802857,0.1580802857,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/02 02:00:00,0.8456127291,5.80361012,0,5.4216691,0,0.1624668029,0.1624668029,0.1624668029,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/02 03:00:00,0.802930379,6.382903117,0,6.021737367,0,0.1804427415,0.1804427415,0.1804427415,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/02 04:00:00,0.7963268879,6.653863045,0,6.286307011,0,0.1884021482,0.1884021482,0.1884021482,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/02 05:00:00,0.7963699581,6.830565523,0,6.401469859,0,0.1918709361,0.1918709361,0.1918709361,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/02 06:00:00,0.8571884333,7.101371022,0,6.402083731,0,0.1918959072,0.1918959072,0.1918959072,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/02 07:00:00,1.113573559,7.331203784,0,6.128843379,0,0.183705473,0.183705473,0.183705473,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/02 08:00:00,1.526699179,7.714836708,0,6.373377793,0,0.1910187283,0.1910187283,0.1910187283,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/02 09:00:00,1.438348134,7.054733808,0,5.757064578,0,0.1724877997,0.1724877997,0.1724877997,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/02 10:00:00,1.210643335,6.715656294,0,5.536415766,0,0.1658678455,0.1658678455,0.1658678455,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/02 11:00:00,1.1993429,6.701543973,0,5.657723298,0,0.1694532041,0.1694532041,0.1694532041,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/02 12:00:00,1.178778805,5.258706106,0,4.335956469,0,0.1298124472,0.1298124472,0.1298124472,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/02 13:00:00,1.150462765,4.778068096,0,3.951759879,0,0.1183152843,0.1183152843,0.1183152843,0.1595009665,0.0345356726,0.4256370215,0.3922478197
