Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/01 01:00:00,1.004463546,6.186710453,0,5.711751284,0,0.1584345922,0.1584345922,0.1584345922,0.2014749428,0.04362401581,0.1228371479,0.4578668475
01/01 02:00:00,0.8636482469,6.732977641,0,6.341307949,0,0.1758974593,0.1758974593,0.1758974593,0.1175269902,0.02544735196,0.1029756859,0.4215747595
01/01 03:00:00,0.8149153233,7.200481459,0,6.827413959,0,0.189381241,0.189381241,0.189381241,0.08394788064,0.01817667514,0.08649659032,0.4166869362
01/01 04:00:00,0.8116225923,7.667635863,0,7.286115981,0,0.2021048811,0.2021048811,0.2021048811,0.08394788064,0.01817667514,0.07634560719,0.4108215483
01/01 05:00:00,0.8191286828,8.073373934,0,7.625300879,0,0.2115133127,0.2115133127,0.2115133127,0.08394788064,0.01817667514,0.08996210506,0.3953027093
01/01 06:00:00,0.8886674612,8.624710477,0,7.880620541,0,0.2185954604,0.2185954604,0.2185954604,0.08394788064,0.01817667514,0.1065953922,0.4411260527
01/01 07:00:00,1.186074622,10.08357026,0,8.789637816,0,0.2438101055,0.2438101055,0.2438101055,0.1930801059,0.04180636071,0.1774742756,0.5096777745
01/01 08:00:00,1.599811286,10.08248462,0,8.632183432,0,0.2394425797,0.2394425797,0.2394425797,0.3945550487,0.08543037652,0.2810864593,0.5415708215
01/01 09:00:00,1.495015103,8.307146048,0,6.896993066,0,0.1913112511,0.1913112511,0.1913112511,0.3777654765,0.08179504375,0.3660504839,0.4578668475
01/01 10:00:00,1.264191944,7.295868468,0,6.016225975,0,0.1668802197,0.1668802197,0.1668802197,0.1930801059,0.04180636071,0.4525175454,0.3896817125
01/01 11:00:00,1.250612486,6.941516513,0,5.815792406,0,0.1613205219,0.1613205219,0.1613205219,0.1595009665,0.0345356726,0.4761829433,0.3988463812
01/01 12:00:00,1.237997536,5.595473315,0,4.607132819,0,0.1277942917,0.1277942917,0.1277942917,0.1595009665,0.0345356726,0.4969720281,0.3989685768
01/01 13:00:00,1.183589793,4.328455651,0,3.448776415,0,0.095663389,0.095663389,0.095663389,0.1595009665,0.0345356726,0.4814159451,0.3922478197
01/01 14:00:00,1.111567563,2.780113644,0,1.971078968,0,0.0546744907,0.0546744907,0.0546744907,0.1595009665,0.0345356726,0.4368189035,0.4058115294
01/01 15:00:00,1.079651752,1.631115336,0,0.8837008083,0,0.02451240788,0.02451240788,0.02451240788,0.167895801,0.03635335027,0.4020020896,0.4286621033
01/01 16:00:00,1.149808643,1.119194286,0,0.3624809755,0,0.01005462645,0.01005462645,0.01005462645,0.2098696756,0.04544169348,0.4117264056,0.4524902419
01/01 17:00:00,1.468337096,1.324086816,0,0.482949786,0,0.01339623324,0.01339623324,0.01339623324,0.3525810724,0.07634203331,0.4705751059,0.5352166512
01/01 18:00:00,2.10878497,3.303211811,0,2.297135636,0,0.06371876675,0.06371876675,0.06371876675,0.654793535,0.1417780683,0.578065906,0.6502026943
01/01 19:00:00,2.525207879,3.39144902,0,2.222615534,0,0.06165170161,0.06165170161,0.06165170161,0.9737954681,0.2108494361,0.5227613937,0.7059238799
01/01 20:00:00,2.515434612,4.276265248,0,3.066075273,0,0.08504788838,0.08504788838,0.08504788838,1.032558912,0.2235731121,0.4253764414,0.7286522582
01/01 21:00:00,2.310656979,3.825171161,0,2.692945637,0,0.07469788557,0.07469788557,0.07469788557,0.8898475155,0.1926727497,0.3795104754,0.7537023526
