time,grid_price_old,"Time-of-Use
($/kWh)","Dynamic
($/kWh)",grid_price
8,0.0749,0.09,0.1836,0.2736
9,0.0339,0.075,0.0756,0.1506
10,0.0308,0.075,0.0648,0.1398
11,0.0137,0.075,0.0432,0.1182
12,0.0136,0.075,0.0432,0.1182
13,0.0139,0.075,0.0432,0.1182
14,0.0144,0.11,0.0432,0.1532
15,0.0146,0.11,0.0432,0.1532
16,0.0302,0.11,0.0864,0.1964
17,0.0578,0.11,0.1296,0.2396
18,0.08,0.11,0.1836,0.2936
19,0.105,0.11,0.2376,0.3476
20,0.0709,0.11,0.162,0.272
21,0.053,0.11,0.1296,0.2396
22,0.0467,0.11,0.108,0.218
23,0.0403,0.11,0.0972,0.2072
24,0.0316,0.09,0.0756,0.1656
1,0.0306,0.09,0.0756,0.1656
2,0.0263,0.09,0.0648,0.1548
3,0.0263,0.09,0.0648,0.1548
4,0.0263,0.09,0.0648,0.1548
5,0.0302,0.09,0.0756,0.1656
6,0.0528,0.09,0.1188,0.2088
7,0.0872,0.09,0.1944,0.2844
