,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
0,8231.822687950433,8844.889386610155,8237.685985821578,"[0.0, 0.0]","[0.0, 93.0]",249.72000000000003,114.364,5562.0,2092.0,"[2613.8379901877743, 667.4930694620168]","[455.8379901877743, 11.493069462016855]",12,19,1.1803,1.0928,1.0395,"[2, 31]",2,"[0.3248, 0.2465]","[0.8929, 0.6809, 0.7665, 0.2165]",0.2
1,956.2471733049547,1230.5054291485624,956.2471732812218,"[0.0, 0.0]","[0.0, 0.0]",121.75500000000001,0.0,2834.5,0.0,"[3427.621173615501, 1227.8240525970311]","[1741.1211736155014, 653.8240525970313]",7,23,1.133,0.8849,0.8727,"[9, 11]",2,"[0.694, 0.6893]","[0.2057, 0.2184, 0.6198, 0.5199]",0.2
2,11099.398844241348,12040.129059313751,11526.010843585762,"[0.0, 0.0]","[157.0, 114.0]",269.53999999999996,262.68,5987.0,4260.0,"[1164.53202262174, 417.54209986365254]","[257.5320226217395, 7.5420998636526235]",21,14,0.9824,1.1141,0.8799,"[7, 23]",2,"[0.6739, 0.2372]","[0.686, 0.3364, 0.252, 0.9591]",0.2
3,4820.8786661554,5336.13592242481,4826.344918377372,"[0.0, 0.0]","[93.0, 40.0]",260.34900000000005,240.96800000000005,5842.5,3856.0,"[1638.2305763013235, 405.0852021476518]","[307.73057630132433, 77.0852021476519]",19,17,0.9542,0.8064,0.8924,"[1, 30]",2,"[0.5521, 0.2976]","[0.5961, 0.2275, 0.9275, 0.407]",0.2
4,1545.0524425086212,1858.4083874716234,1545.0514484747594,"[0.0, 0.0]","[45.0, 0.0]",65.885,0.0,1664.5,0.0,"[1252.8745226176443, 569.3491032385398]","[408.3745226176451, 159.34910323853984]",13,3,0.9247,1.008,1.0187,"[21, 25]",2,"[0.9757, 0.8201]","[0.9516, 0.9159, 0.6783, 0.9375]",0.2
5,4688.902843663044,4904.014849838586,4743.490746008647,"[0.0, 0.0]","[17.0, 0.0]",85.66000000000003,41.879999999999995,1997.0,468.0,"[1538.5306984009717, 319.0850106607467]","[337.5306984009717, 155.0850106607468]",13,13,0.8784,0.8181,0.9301,"[11, 31]",2,"[0.6318, 0.6694]","[0.9722, 0.6856, 0.4208, 0.437]",0.2
6,3675.1771241579895,3920.1497944074426,3681.1837804343313,"[0.0, 0.0]","[27.0, 77.0]",201.52,286.978,4082.0,3704.0,"[534.832714675728, 106.58451924973724]","[320.8327146757284, 24.584519249737234]",18,0,0.8063,0.9694,0.958,"[20, 30]",2,"[0.2113, 0.3591]","[0.7691, 0.8321, 0.6848, 0.941]",0.2
7,3887.9709749155286,3888.268785101393,3888.0199065534566,"[357.0, 137.0]","[357.0, 137.0]",439.805,455.8925,5021.0,5021.0,"[303.84929383089013, 54.06216959218659]","[303.84929383089013, 54.062169592186535]",14,6,1.14,0.9798,0.8382,"[24, 27]",2,"[0.4488, 0.4601]","[0.7837, 0.71, 0.9098, 0.5778]",0.2
8,7927.988296059474,8377.348055062992,7928.771347313932,"[0.0, 0.0]","[182.0, 110.0]",110.24000000000001,87.25,2350.0,780.0,"[1069.6171940939826, 445.8000902643766]","[319.6171940939825, 35.80009026437656]",10,14,1.0853,1.1043,1.0245,"[15, 21]",2,"[0.595, 0.6182]","[0.542, 0.2203, 0.2863, 0.2251]",0.2
9,5019.97161478293,5128.9860116511545,5019.971614784912,"[0.0, 0.0]","[0.0, 0.0]",118.09500000000001,0.0,2846.0,0.0,"[2475.0495454844313, 632.423119135085]","[449.0495454844315, 222.42311913508485]",12,16,0.9257,1.0034,1.163,"[15, 30]",2,"[0.6835, 0.6319]","[0.3624, 0.9543, 0.6791, 0.7558]",0.2
10,1174.5267880339034,1174.5268196638374,1174.5266277787562,"[0.0, 0.0]","[322.0, 111.0]",186.28750000000002,96.675,1837.0,1048.0,"[730.1686384309659, 224.62312363954314]","[269.16863843096587, 60.623123639543195]",7,9,1.1232,1.0534,1.1486,[27],1,"[0.3748, 0.5332]","[0.9066, 0.4595, 0.2977, 0.485]",0.2
11,1354.0551846963626,1478.9790519431228,1354.054548124074,"[0.0, 0.0]","[0.0, 0.0]",118.98000000000002,6.98,2535.0,156.0,"[2278.9120479760054, 854.465082533807]","[391.91204797600477, 608.465082533807]",6,0,0.8912,0.9708,1.1272,"[8, 15]",2,"[0.2056, 0.6086]","[0.5339, 0.3777, 0.2959, 0.4701]",0.2
12,6206.551917014072,7006.503476250931,6248.796817417921,"[0.0, 0.0]","[88.0, 48.0]",209.42000000000002,226.3025,4731.5,3479.0,"[1018.8987485366113, 299.2927126720149]","[258.39874853661246, 53.2927126720149]",20,21,0.8875,1.0232,0.9615,"[23, 28]",2,"[0.4031, 0.3975]","[0.757, 0.7698, 0.3185, 0.9982]",0.2
13,4215.939551207183,4623.549368402777,4248.209839512523,"[203.0, 124.0]","[106.0, 124.0]",179.625,288.66,4075.5,4172.0,"[260.9515526411633, 11.816981633540259]","[357.4515526411635, 11.816981633540244]",22,1,1.0011,0.8206,0.9115,"[6, 28]",2,"[0.7075, 0.7446]","[0.6247, 0.5582, 0.6423, 0.6742]",0.2
14,5292.334843821064,5840.466357416384,5588.4325395770375,"[0.0, 0.0]","[0.0, 0.0]",131.705,83.76,2967.0,1404.0,"[1451.6547164608169, 479.5846977811222]","[380.654716460817, 233.58469778112217]",16,23,0.8951,1.0913,0.9471,"[5, 26]",2,"[0.5191, 0.8531]","[0.8387, 0.3206, 0.6066, 0.7567]",0.2
15,1827.1696541479294,2443.814873783999,1827.1696606658372,"[0.0, 0.0]","[0.0, 0.0]",158.64000000000001,0.0,3380.0,0.0,"[2999.2429870060946, 906.0874090740376]","[275.24298700609444, 578.0874090740376]",8,19,0.9304,0.8881,1.0845,"[25, 29]",2,"[0.3812, 0.7161]","[0.3395, 0.7528, 0.5094, 0.9494]",0.2
16,141.8851769000004,141.8852878637191,141.88517594573733,"[0.0, 0.0]","[0.0, 0.0]",55.5,151.275,684.0,1434.0,"[664.601134520663, 489.69203415151424]","[1414.601134520663, 489.69203415151424]",6,10,0.9364,0.8454,1.1699,"[10, 11]",2,"[0.4064, 0.728]","[0.8538, 0.6442, 0.6237, 0.3935]",0.2
