,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
0,432.3670552266078,445.9639383185354,432.367069782262,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,1.0395,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
1,810.8854292290183,825.0323996557428,810.8826911500117,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.8727,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
2,792.8809302944477,807.0234932742577,792.8773514495474,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.8799,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
3,761.6652976867182,775.8012528439973,761.6622923432213,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.8924,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
4,475.93863411046766,489.54205911303785,475.93780043786177,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,1.0187,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
5,668.045426790303,682.1363755074752,668.0469404717477,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.9301,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
6,605.8561625115041,619.6019903980724,605.8551837449425,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.958,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
7,897.3001158884751,911.453181510383,897.2966491123402,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,0.8382,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
8,463.7719436341939,477.37306193358745,463.77134024007376,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,1.0245,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
9,174.51902605649474,188.1126975601208,174.5192592011902,"[0.0, 0.0]","[221.0, 0.0]",78.9,9.25,994.0,114.0,"[1043.2818754046853, 313.4014751456866]","[327.28187540468525, 231.40147514568662]",8,8,1,1,1.163,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
