,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
0,664.276650399662,901.4211210097844,696.5911848553703,"[0.0, 0.0]","[122.0, 79.0]",296.8375,226.2,2831.5,2322.0,"[771.550790187774, 162.42101946201683]","[426.05079018777406, 80.42101946201683]",8,8,1,1,1,"[21, 17]",2,"[0.3248, 0.2465]","[0.7, 0.7, 0.7, 0.7]",0
1,515.3706194900525,529.0365430408489,515.3706154755935,"[0.0, 0.0]","[242.0, 0.0]",69.65,9.25,880.0,114.0,"[908.6651736155022, 300.16555259703114]","[306.6651736155022, 218.16555259703114]",8,8,1,1,1,"[21, 17]",2,"[0.694, 0.6893]","[0.7, 0.7, 0.7, 0.7]",0
2,583.1032744935818,617.5175397327843,583.1372986820777,"[0.0, 90.0]","[0.0, 90.0]",146.3875,98.5,1697.0,1322.0,"[1000.5992226217395, 68.91689986365265]","[625.5992226217395, 68.91689986365265]",8,8,1,1,1,"[21, 17]",2,"[0.6739, 0.2372]","[0.7, 0.7, 0.7, 0.7]",0
3,569.5935233635314,660.1797648600964,569.6609666727928,"[0.0, 97.0]","[259.0, 97.0]",189.375,93.6,1990.0,1240.0,"[1039.080176301324, 61.631827147651904]","[289.08017630132395, 61.631827147651904]",8,8,1,1,1,"[21, 17]",2,"[0.5521, 0.2976]","[0.7, 0.7, 0.7, 0.7]",0
4,515.3598198449686,515.3598194895653,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,0.0,0.0,"[1160.6193226176456, 379.96542823853974]","[1160.6193226176456, 379.96542823853974]",8,8,1,1,1,"[21, 17]",2,"[0.9757, 0.8201]","[0.7, 0.7, 0.7, 0.7]",0
5,515.3927408662404,529.0993207206202,515.392621768773,"[0.0, 0.0]","[228.0, 0.0]",78.9,27.75,994.0,342.0,"[808.9386984009716, 275.5492106607468]","[320.9386984009716, 193.54921066074678]",8,8,1,1,1,"[21, 17]",2,"[0.6318, 0.6694]","[0.7, 0.7, 0.7, 0.7]",0
6,733.0945656451956,924.8017615267568,733.7481173492184,"[0.0, 103.0]","[206.0, 103.0]",304.04999999999995,238.3125,2728.0,2300.5,"[770.0515146757285, 55.707456749737275]","[342.5515146757285, 55.707456749737275]",8,8,1,1,1,"[21, 17]",2,"[0.2113, 0.3591]","[0.7, 0.7, 0.7, 0.7]",0
7,539.7837394423238,646.107383681242,540.7224127014986,"[0.0, 0.0]","[243.0, 142.0]",175.22499999999997,94.8625,1794.0,1119.0,"[652.1292938308898, 180.64466959218635]","[305.12929383088976, 16.644669592186347]",8,8,1,1,1,"[21, 17]",2,"[0.4488, 0.4601]","[0.7, 0.7, 0.7, 0.7]",0
8,515.4038131935814,541.3871224875048,515.4039928430874,"[0.0, 0.0]","[240.0, 29.0]",87.1,37.0,1036.0,456.0,"[724.4895940939825, 212.2147027643765]","[308.48959409398253, 130.2147027643765]",8,8,1,1,1,"[21, 17]",2,"[0.595, 0.6182]","[0.7, 0.7, 0.7, 0.7]",0
9,515.3706218322698,529.135570655544,515.3706219551706,"[0.0, 0.0]","[278.0, 12.0]",78.9,9.25,994.0,114.0,"[986.5859454844317, 229.16163163508497]","[270.5859454844317, 147.16163163508497]",8,8,1,1,1,"[21, 17]",2,"[0.6835, 0.6319]","[0.7, 0.7, 0.7, 0.7]",0
