,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
0,515.3598198449686,515.404646994162,515.3598194895653,"[0.0, 0.0]","[120.0, 0.0]",37.0,0.0,456.0,0.0,"[841.7922754046851, 281.33662514568664]","[385.7922754046852, 281.33662514568664]",8,8,0.9213,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
1,515.3598198449686,515.4040483094908,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",37.0,0.0,456.0,0.0,"[938.6786754046852, 309.3815251456866]","[482.67867540468524, 309.3815251456866]",8,8,0.8771,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
2,515.3598198449686,515.3926742638763,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[900.521875404685, 331.33522514568654]","[558.521875404685, 331.33522514568654]",8,8,0.8425,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
3,515.3925792569814,611.5941728542236,515.3933510199321,"[0.0, 0.0]","[324.0, 23.0]",128.825,27.75,1450.0,342.0,"[906.9266754046853, 400.8807751456867]","[290.9266754046853, 154.88077514568664]",8,8,1.1206,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
4,515.3925792546149,577.8062317792529,515.3933510199321,"[0.0, 0.0]","[378.0, 39.0]",131.6875,27.75,1451.0,342.0,"[1028.086675404685, 306.19077514568653]","[247.08667540468502, 142.19077514568653]",8,8,1.1406,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
5,515.3926241074054,602.0023133198314,515.3933510199321,"[0.0, 0.0]","[335.0, 27.0]",152.55,27.75,1658.0,342.0,"[1105.5010754046853, 398.1524251456867]","[281.501075404685, 152.15242514568672]",8,8,1.1249,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
6,515.3598198449686,515.3927764909023,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[911.701075404685, 334.57117514568677]","[569.7010754046852, 334.57117514568677]",8,8,0.8374,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
7,515.3598198449686,515.392621768773,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",27.75,0.0,342.0,0.0,"[952.4722754046853, 346.37287514568663]","[610.4722754046855, 346.37287514568663]",8,8,0.8188,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
8,515.4039205910045,611.4074133637266,515.4038329618407,"[0.0, 0.0]","[304.0, 51.0]",136.5875,37.0,1533.0,456.0,"[914.521875404685, 379.05397514568654]","[329.52187540468515, 133.05397514568648]",8,8,1.155,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
9,515.392579205045,563.2742476814551,515.3933510199321,"[0.0, 0.0]","[377.0, 39.0]",126.7875,27.75,1369.0,342.0,"[1110.9634754046854, 224.44457514568649]","[247.96347540468525, 142.44457514568654]",8,8,1.1402,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
10,515.3706219852127,528.9680809441286,515.3706154755935,"[0.0, 0.0]","[231.0, 0.0]",69.65,9.25,880.0,114.0,"[921.6098754046851, 311.18072514568667]","[319.609875404685, 229.18072514568667]",8,8,1.0035,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
11,515.3598198449686,515.4148026277093,515.3598194895653,"[0.0, 0.0]","[50.0, 0.0]",46.25,0.0,570.0,0.0,"[1011.2498754046851, 297.38947514568645]","[441.24987540468516, 297.38947514568645]",8,8,0.896,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
12,515.3927406127424,565.8731827610263,515.392621768773,"[0.0, 0.0]","[286.0, 12.0]",107.9625,27.75,1243.0,342.0,"[894.3954754046852, 327.7003251456866]","[321.39547540468516, 163.70032514568663]",8,8,1.1067,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
13,515.3706178768566,529.0483534397353,515.3706154755935,"[0.0, 0.0]","[226.0, 0.0]",78.9,9.25,994.0,114.0,"[1039.5554754046848, 312.3228251456865]","[323.55547540468524, 230.32282514568647]",8,8,1.0017,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
14,515.3927404686689,586.7909641764229,515.392621768773,"[0.0, 0.0]","[248.0, 2.0]",115.725,27.75,1326.0,342.0,"[1007.2066754046856, 336.32952514568655]","[351.20667540468526, 172.3295251456866]",8,8,1.0931,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
15,515.40404855913,591.4285159648908,515.4038329618407,"[0.0, 0.0]","[277.0, 43.0]",136.58749999999998,37.0,1533.0,456.0,"[936.0034754046851, 385.27207514568653]","[351.0034754046852, 139.27207514568659]",8,8,1.1452,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
16,515.3706236966588,529.0483534397353,515.3706154755935,"[0.0, 0.0]","[207.0, 0.0]",78.9,9.25,994.0,114.0,"[1054.6802754046853, 316.7008751456865]","[338.6802754046853, 234.7008751456865]",8,8,0.9948,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
17,515.3706202374049,529.0375966996294,515.3706154755935,"[0.0, 0.0]","[243.0, 0.0]",69.65,9.25,880.0,114.0,"[911.5266754046849, 308.2620251456867]","[309.5266754046852, 226.2620251456867]",8,8,1.0081,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
18,515.3816187085513,554.3262344777428,515.3817095969662,"[0.0, 0.0]","[242.0, 0.0]",99.76249999999999,18.5,1201.0,228.0,"[978.2162754046853, 364.1206251456867]","[333.21627540468535, 200.12062514568674]",8,8,1.0493,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
19,515.3706236966588,529.0483534397353,515.3706154755935,"[0.0, 0.0]","[204.0, 0.0]",78.9,9.25,994.0,114.0,"[1057.0914754046853, 317.3988251456866]","[341.09147540468496, 235.3988251456866]",8,8,0.9937,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
20,515.3598198449686,515.4046233098378,515.3598194895653,"[0.0, 0.0]","[126.0, 0.0]",37.0,0.0,456.0,0.0,"[836.3122754046854, 279.7503751456867]","[380.31227540468535, 279.7503751456867]",8,8,0.9238,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
21,515.3598198449686,515.3598194895653,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",0.0,0.0,0.0,0.0,"[626.9122754046851, 351.1316251456866]","[626.9122754046851, 351.1316251456866]",8,8,0.8113,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
22,515.3598198449686,515.403920163913,515.3598194895653,"[0.0, 0.0]","[146.0, 0.0]",37.0,0.0,456.0,0.0,"[820.9682754046853, 275.30887514568656]","[364.9682754046853, 275.30887514568656]",8,8,0.9308,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
23,515.4041712152242,613.905999663456,515.4038832836277,"[0.0, 0.0]","[367.0, 69.0]",168.5125,37.0,1783.0,456.0,"[1114.105875404685, 364.4604751456866]","[279.1058754046852, 118.46047514568657]",8,8,1.178,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
24,515.3816187085513,540.7903873672017,515.3815848279175,"[0.0, 0.0]","[278.0, 0.0]",94.8625,18.5,1119.0,228.0,"[1031.2818754046853, 273.7452251456866]","[304.28187540468525, 191.74522514568662]",8,8,1.0625,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
25,515.3598198449686,515.4148026277093,515.3598194895653,"[0.0, 0.0]","[49.0, 0.0]",46.25,0.0,570.0,0.0,"[1011.9074754046851, 297.57982514568675]","[441.9074754046851, 297.57982514568675]",8,8,0.8957,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
26,515.3816187085513,542.6674848694067,515.3817095969662,"[0.0, 0.0]","[229.0, 0.0]",83.8,18.5,1076.0,228.0,"[863.9570754046854, 367.22967514568654]","[343.9570754046854, 203.22967514568654]",8,8,1.0444,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
27,515.392740541226,542.786885882782,515.3927764909023,"[0.0, 0.0]","[290.0, 14.0]",83.8,27.75,1076.0,342.0,"[724.1074754046851, 326.7485751456867]","[318.10747540468515, 162.74857514568663]",8,8,1.1082,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
28,515.3598198449686,515.3934015142106,515.3598194895653,"[0.0, 0.0]","[66.0, 0.0]",27.75,0.0,342.0,0.0,"[770.317075404685, 293.64592514568665]","[428.31707540468506, 293.64592514568665]",8,8,0.9019,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
29,515.4041716159376,615.1165615686277,515.4038832836277,"[0.0, 0.0]","[369.0, 70.0]",168.5125,37.0,1783.0,456.0,"[1112.1330754046853, 363.8894251456867]","[277.1330754046852, 117.88942514568663]",8,8,1.1789,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
